YouTuber_ID,YouTuber_Name,Channel_Name,Country,Primary_Game,Secondary_Game,Subscribers,Total_Views,Video_Count,Avg_Views_Per_Video,Channel_Age_Years,Upload_Freq_Per_Week,Avg_Video_Length_Minutes,Likes_Per_Video_Avg,Comments_Per_Video_Avg,Engagement_Rate_Percent,Verified,Team_Affiliation,Content_Type,Language,Twitch,Instagram,Twitter,Contact_Email,Monetization_Est_USD_per_Month,Avg_Sponsor_Rate_USD,Top_Video_Title,Top_Video_Views,Last_Upload_Date,Peak_Concurrent_Viewers
YT100010,LiamGaming,OliviaGamingNetwork,South Korea,Minecraft,FIFA,1420,933112,292,3195,11,2,15,140,68,6.51,FALSE,Complexity,Esports Team Channel,German,twitch.tv/user10,@insta89696,@tw42079,contact+10@example.com,222.82,0.42,Top Moments 10,93629,02-04-2025,2957
YT100011,SamTV,TaylorGamingGaming,Spain,CS:GO Classics,,1414,3140691,288,10905,7,5,10,777,133,8.34,FALSE,BK,Tutorials,Korean,twitch.tv/user11,@insta98080,@tw84165,contact+11@example.com,1936.25,0.67,Top Moments 11,194212,02-07-2025,10216
YT100012,LiamGaming,AlexGamingEsports,Mexico,Fortnite,Esports News,4390,7698484,308,24995,4,1,6,2376,741,12.47,FALSE,Dynamo,Cosplay/Entertainment,Portuguese,twitch.tv/user12,@insta72482,@tw8603,contact+12@example.com,281.29,0.28,Top Moments 12,721042,03-07-2025,29285
YT100013,ChrisGaming,NoahGamingHighlights,Turkey,Call of Duty,Sim Racing,500,625997,323,1938,4,3,7,125,55,9.29,FALSE,TSM,Live Stream Clips,Filipino,twitch.tv/user13,@insta12395,@tw1617,contact+13@example.com,132.01,0.18,Top Moments 13,48807,02-07-2025,538
YT100014,AlexGaming,JordanTVGaming,Philippines,Hearthstone,Rocket League,500,510844,320,1596,7,3,7,133,30,10.21,FALSE,BK,Live Stream Clips,English,twitch.tv/user14,@insta78397,@tw60251,contact+14@example.com,133.8,0.22,Top Moments 14,43865,20-07-2025,1664
YT100015,RileyTV,TaylorTVGaming,Pakistan,Call of Duty,,1212,659817,300,2199,6,3,12,143,57,9.1,FALSE,No Affiliation,Speedrun,Spanish,twitch.tv/user15,@insta56302,@tw36851,contact+15@example.com,124.32,0.46,Top Moments 15,104875,02-07-2025,2923
YT100016,EmmaGaming,JordanTVLive,France,Rocket League,,589,2363658,331,7140,11,7,3,578,82,9.24,FALSE,TSM,Let's Play,Russian,twitch.tv/user16,@insta5165,@tw28444,contact+16@example.com,1907.83,0.16,Top Moments 16,85213,04-03-2025,2647
YT100017,LiamGaming,JordanTVPlays,Brazil,Teamfight Tactics,FIFA,4928,14775982,298,49583,8,7,5,5068,763,11.76,FALSE,Dynamo,Match Highlights,Korean,twitch.tv/user17,@insta4905,@tw23099,contact+17@example.com,8232.24,2.15,Top Moments 17,1695346,04-05-2025,45615
YT100018,ChrisTV,NoahGamingTV,Philippines,Apex Legends,Roblox,697,88964,326,272,1,1,13,10,2,4.41,FALSE,TSM,Match Highlights,Korean,twitch.tv/user18,@insta13280,@tw76534,contact+18@example.com,5.35,0.28,Top Moments 18,6743,03-07-2025,297
YT100019,SamPlays,AlexGamingHighlights,China,Mobile Legends,PUBG Mobile,500,313428,302,1037,10,2,11,92,18,10.61,FALSE,OpTic,Game Guides,Spanish,twitch.tv/user19,@insta29657,@tw21766,contact+19@example.com,54.96,0.19,Top Moments 19,35899,14-06-2025,1502
YT100020,RileyPlays,OliviaGamingNetwork,UK,Counter-Strike 2,Rocket League,31102,79963347,310,257946,11,4,13,25470,4488,11.61,FALSE,Envy,Game Guides,German,twitch.tv/user20,@insta31495,@tw65169,contact+20@example.com,34640.76,3.04,Top Moments 20,7921798,14-07-2025,83863
YT100021,JordanGaming,SamGamingHighlights,China,Fighting Games,,2077,4539416,295,15387,7,7,12,995,158,7.49,FALSE,Dynamo,Speedrun,English,twitch.tv/user21,@insta67237,@tw12539,contact+21@example.com,1438.65,0.76,Top Moments 21,589367,20-07-2025,17618
YT100022,SamPlays,JordanPlaysPlays,Turkey,FIFA,Counter-Strike 2,3321,14653623,293,50012,12,5,27,2616,1091,7.41,FALSE,No Affiliation,Esports Team Channel,English,twitch.tv/user22,@insta79907,@tw17961,contact+22@example.com,9295.7,0.4,Top Moments 22,1381340,26-07-2025,47899
YT100023,EmmaGaming,SamGamingHighlights,China,Fortnite,,500,1450663,341,4254,7,1,13,90,33,2.89,FALSE,Envy,Interviews,Portuguese,twitch.tv/user23,@insta4478,@tw81541,contact+23@example.com,65.76,0.23,Top Moments 23,151803,21-07-2025,2739
YT100024,OliviaTV,SamGamingNetwork,Spain,CS:GO Classics,,1247,4454483,334,13336,11,1,10,1329,87,10.62,FALSE,Complexity,News/Analysis,Korean,twitch.tv/user24,@insta74563,@tw57847,contact+24@example.com,357.82,0.43,Top Moments 24,497344,28-06-2025,3546
YT100025,OliviaPlays,ChrisPlaysGaming,Thailand,Rainbow Six Siege,Hearthstone,3559,2488715,317,7850,7,4,13,414,114,6.73,FALSE,Dynamo,Match Highlights,Korean,twitch.tv/user25,@insta27062,@tw84032,contact+25@example.com,936.99,1.58,Top Moments 25,82804,19-07-2025,4930
YT100026,OliviaPlays,TaylorPlaysPlays,Turkey,Counter-Strike 2,,500,1250066,324,3858,7,2,18,215,58,7.08,FALSE,Envy,Live Stream Clips,Indonesian,twitch.tv/user26,@insta94850,@tw57283,contact+26@example.com,281.55,0.06,Top Moments 26,178993,21-04-2025,4915
YT100027,EmmaTV,TaylorPlaysPlays,Philippines,CS:GO Classics,,5437,26797857,292,91773,10,3,12,4919,1192,6.66,FALSE,RRQ,Speedrun,Russian,twitch.tv/user27,@insta86181,@tw53873,contact+27@example.com,7313.68,1.69,Top Moments 27,3375407,25-06-2025,94080
YT100028,SamGaming,NoahTVPlays,Vietnam,Battlefield,,1140,5215648,326,15998,10,3,16,1117,183,8.13,FALSE,Fnatic,Montages,Hindi,twitch.tv/user28,@insta92924,@tw57233,contact+28@example.com,1815.79,0.06,Top Moments 28,106317,18-07-2025,7946
YT100029,ChrisPlays,SamTVGaming,UK,Mobile Legends,League of Legends,1869,6612537,305,21680,8,1,14,1956,292,10.37,FALSE,NRG,Interviews,Russian,twitch.tv/user29,@insta72426,@tw63573,contact+29@example.com,643.16,0.17,Top Moments 29,939222,21-05-2025,32321
YT100030,LiamTV,RileyTVNetwork,Thailand,TFT,Fortnite,1138,1904772,303,6286,9,7,10,610,57,10.61,FALSE,FaZe Clan,Tutorials,Russian,twitch.tv/user30,@insta55987,@tw51242,contact+30@example.com,1432,0.23,Top Moments 30,70126,02-07-2025,7353
YT100031,ChrisGaming,EmmaTVChannel,South Korea,Counter-Strike 2,,57736,201538599,312,645957,9,7,13,38277,9745,7.43,FALSE,No Affiliation,News/Analysis,Filipino,twitch.tv/user31,@insta29893,@tw1611,contact+31@example.com,144819.62,10.24,Top Moments 31,19472961,02-08-2025,287794
YT100032,AlexGaming,RileyGamingClips,Vietnam,League of Legends,FIFA,2917,2526101,282,8957,2,2,22,773,247,11.39,FALSE,Sentinels,Interviews,Spanish,twitch.tv/user32,@insta59878,@tw5944,contact+32@example.com,459.7,1.2,Top Moments 32,152534,04-08-2025,10887
YT100033,ChrisGaming,SamPlaysClips,Philippines,Mobile Legends,,548,1362726,310,4395,7,3,13,404,46,10.24,FALSE,OpTic,Match Highlights,Indonesian,twitch.tv/user33,@insta78236,@tw70963,contact+33@example.com,475.95,0.16,Top Moments 33,130252,07-08-2025,5628
YT100034,RileyTV,EmmaTVGaming,Thailand,Esports News,Overwatch,11115,12662980,297,42636,7,3,6,2118,942,7.18,FALSE,RRQ,Interviews,Filipino,twitch.tv/user34,@insta37463,@tw27137,contact+34@example.com,2059.93,5.08,Top Moments 34,1902879,26-07-2025,56784
YT100035,ChrisGaming,AlexTVHighlights,Indonesia,Minecraft,Roblox,500,958450,311,3081,4,1,10,91,26,3.8,FALSE,TSM,Esports Team Channel,Spanish,twitch.tv/user35,@insta1851,@tw96768,contact+35@example.com,35.83,0.24,Top Moments 35,137882,25-06-2025,3578
YT100036,SamPlays,LiamTVOfficial,Turkey,Battlefield,,4163,9474232,341,27783,9,1,2,3041,384,12.33,FALSE,T1,Speedrun,Russian,twitch.tv/user36,@insta21926,@tw49903,contact+36@example.com,278.96,1.84,Top Moments 36,1103833,25-07-2025,8458
YT100037,ChrisGaming,OliviaPlaysChannel,Pakistan,Counter-Strike 2,Mobile Legends,500,433650,306,1417,8,0.5,13,124,18,10.02,FALSE,Team Liquid,Match Highlights,Hindi,twitch.tv/user37,@insta92506,@tw2845,contact+37@example.com,16.28,0.09,Top Moments 37,58248,09-08-2025,1782
YT100038,LiamGaming,OliviaGamingNetwork,France,League of Legends,Valorant,500,596400,325,1835,12,7,20,155,52,11.28,FALSE,OpTic,Cosplay/Entertainment,Japanese,twitch.tv/user38,@insta56392,@tw43233,contact+38@example.com,478.72,0.16,Top Moments 38,48389,18-06-2025,2580
YT100039,TaylorTV,SamTVGaming,Turkey,Call of Duty,Valorant,4084,1394210,287,4857,1,2,4,125,76,4.14,FALSE,No Affiliation,News/Analysis,Russian,twitch.tv/user39,@insta45597,@tw70603,contact+39@example.com,240.2,1.6,Top Moments 39,212164,21-04-2025,4126
YT100040,AlexGaming,JordanTVHighlights,UK,Sim Racing,Valorant,9716,4799108,313,15332,2,1,13,1560,341,12.4,FALSE,Independent Creator,Let's Play,Spanish,twitch.tv/user40,@insta37421,@tw25979,contact+40@example.com,545.07,2.81,Top Moments 40,374397,18-05-2025,18236
YT100041,AlexTV,TaylorTVChannel,France,Fighting Games,Rocket League,3921,725524,323,2246,2,2,18,172,45,9.66,FALSE,EVOS,Esports Team Channel,Russian,twitch.tv/user41,@insta21379,@tw3348,contact+41@example.com,41.12,0.78,Top Moments 41,26952,07-08-2025,1921
YT100042,OliviaGaming,ChrisTVGaming,Thailand,Grand Theft Auto V,League of Legends,2477,11389168,285,39961,12,1,19,4187,340,11.33,FALSE,Sentinels,Montages,Hindi,twitch.tv/user42,@insta29221,@tw89702,contact+42@example.com,1197.9,0.33,Top Moments 42,1802305,18-06-2025,41277
YT100043,RileyTV,OliviaTVOfficial,Turkey,Teamfight Tactics,,1841,9051011,297,30474,12,1,20,3579,868,14.59,FALSE,Dynamo,Live Stream Clips,Portuguese,twitch.tv/user43,@insta45118,@tw1540,contact+43@example.com,1200.76,0.89,Top Moments 43,733157,27-05-2025,31725
YT100044,OliviaPlays,NoahGamingClips,Vietnam,Esports News,Dota 2,500,2070403,315,6572,11,2,2,760,89,12.92,FALSE,FaZe Clan,Match Highlights,German,twitch.tv/user44,@insta14396,@tw83141,contact+44@example.com,310.75,0.07,Top Moments 44,202665,10-04-2025,5182
YT100045,JordanPlays,JordanPlaysOfficial,Vietnam,Minecraft,,942,1062707,303,3507,8,2,15,370,21,11.15,FALSE,NRG,Cosplay/Entertainment,Indonesian,twitch.tv/user45,@insta13156,@tw97154,contact+45@example.com,229,0.39,Top Moments 45,112476,12-02-2025,2318
YT100046,TaylorGaming,EmmaGamingPlays,France,Fighting Games,,1426,513928,317,1621,1,3,3,34,20,3.33,FALSE,Complexity,Match Highlights,Spanish,twitch.tv/user46,@insta50797,@tw33613,contact+46@example.com,111.56,0.16,Top Moments 46,9642,07-06-2025,1242
YT100047,AlexTV,JordanPlaysGaming,Indonesia,Minecraft,,16177,3547633,319,11121,4,3,6,1207,148,12.18,FALSE,100 Thieves,Interviews,Portuguese,twitch.tv/user47,@insta13676,@tw30657,contact+47@example.com,1175.01,8,Top Moments 47,211201,29-05-2025,10624
YT100048,ChrisTV,TaylorGamingGaming,Brazil,Overwatch,,5165,9674068,310,31206,10,3,17,858,228,3.48,FALSE,Complexity,Match Highlights,Spanish,twitch.tv/user48,@insta48052,@tw91901,contact+48@example.com,2362.41,1.04,Top Moments 48,599843,07-07-2025,27625
YT100049,OliviaGaming,SamGamingTV,Spain,Mobile Legends,Apex Legends,500,1376818,309,4455,12,2,13,468,91,12.55,FALSE,EVOS,Vlogs,Russian,twitch.tv/user49,@insta46082,@tw46134,contact+49@example.com,98.87,0.2,Top Moments 49,162174,10-07-2025,4608
YT100050,ChrisGaming,AlexGamingNetwork,Turkey,CS:GO Classics,Call of Duty,5006,10659304,325,32797,5,3,16,1574,448,6.17,FALSE,EVOS,Live Stream Clips,Russian,twitch.tv/user50,@insta80131,@tw41906,contact+50@example.com,1217.14,0.59,Top Moments 50,1131726,01-08-2025,8531
YT100051,TaylorPlays,EmmaPlaysTV,Thailand,TFT,Rainbow Six Siege,1609,3268035,305,10714,9,2,6,867,222,10.16,FALSE,BK,Speedrun,Indonesian,twitch.tv/user51,@insta35671,@tw17899,contact+51@example.com,360.83,0.6,Top Moments 51,530003,03-06-2025,8550
YT100052,JordanGaming,JordanPlaysEsports,Malaysia,Rainbow Six Siege,,1009,388968,286,1360,7,2,21,32,7,2.87,FALSE,Dynamo,Vlogs,Korean,twitch.tv/user52,@insta6695,@tw14462,contact+52@example.com,105.77,0.36,Top Moments 52,50443,19-05-2025,396
YT100053,ChrisPlays,TaylorPlaysEsports,France,Roblox,,7932,13234122,335,39504,8,2,16,3836,1167,12.66,FALSE,Gen.G,Vlogs,Japanese,twitch.tv/user53,@insta96647,@tw51272,contact+53@example.com,2096.5,1.75,Top Moments 53,501339,03-07-2025,46687
YT100054,JordanPlays,AlexTVNetwork,South Korea,Apex Legends,,15515,46850246,322,145497,11,2,17,4535,1347,4.04,FALSE,Complexity,News/Analysis,Hindi,twitch.tv/user54,@insta61217,@tw66973,contact+54@example.com,6231.33,1.06,Top Moments 54,2705587,08-08-2025,79759
YT100055,NoahGaming,JordanPlaysGaming,Germany,CS:GO Classics,,13227,56789719,299,189932,9,1,6,11598,4080,8.25,FALSE,Sentinels,News/Analysis,Russian,twitch.tv/user55,@insta71284,@tw78158,contact+55@example.com,3270.55,3.11,Top Moments 55,1902882,31-07-2025,123374
YT100056,TaylorTV,ChrisTVChannel,Indonesia,CS:GO Classics,TFT,778,2578492,286,9015,7,1,19,917,206,12.46,FALSE,EVOS,Esports Team Channel,Russian,twitch.tv/user56,@insta17361,@tw41123,contact+56@example.com,321.38,0.23,Top Moments 56,391037,27-04-2025,9469
YT100057,SamPlays,RileyTVHighlights,Philippines,Fighting Games,,1817,1193708,330,3617,5,2,10,323,33,9.84,FALSE,Dynamo,Cosplay/Entertainment,Hindi,twitch.tv/user57,@insta50615,@tw22891,contact+57@example.com,107.82,0.14,Top Moments 57,154092,15-07-2025,2353
YT100058,TaylorGaming,EmmaGamingNetwork,UK,Teamfight Tactics,PUBG Mobile,5064,3375559,314,10750,5,3,8,221,83,2.83,FALSE,Cloud9,News/Analysis,Filipino,twitch.tv/user58,@insta11328,@tw9557,contact+58@example.com,676.97,0.87,Top Moments 58,492911,05-05-2025,12347
YT100059,NoahTV,NoahPlaysChannel,Japan,Overwatch,,14198,17537604,273,64240,10,2,16,3873,566,6.91,FALSE,100 Thieves,Montages,Spanish,twitch.tv/user59,@insta73357,@tw6992,contact+59@example.com,1144.42,6.97,Top Moments 59,2162847,02-06-2025,84824
YT100060,TaylorTV,RileyTVPlays,Philippines,League of Legends,Counter-Strike 2,1384,6165946,332,18572,11,10,15,449,207,3.53,FALSE,Envy,Match Highlights,English,twitch.tv/user60,@insta39427,@tw40085,contact+60@example.com,3283.87,0.64,Top Moments 60,276823,11-07-2025,19090
YT100061,OliviaPlays,TaylorGamingOfficial,South Korea,Battlefield,Grand Theft Auto V,2214,700198,280,2500,6,3,7,218,23,9.64,FALSE,Cloud9,Live Stream Clips,Indonesian,twitch.tv/user61,@insta83397,@tw39119,contact+61@example.com,266.82,0.93,Top Moments 61,112601,05-08-2025,1007
YT100062,RileyTV,LiamTVHighlights,Turkey,Counter-Strike 2,Sim Racing,507,271827,301,903,5,7,24,105,19,13.73,FALSE,TSM,Let's Play,Portuguese,twitch.tv/user62,@insta82070,@tw60759,contact+62@example.com,41.79,0.06,Top Moments 62,13626,08-08-2025,708
YT100063,ChrisGaming,NoahTVPlays,South Korea,Counter-Strike 2,,500,1752491,330,5310,12,3,23,454,82,10.09,FALSE,OpTic,Cosplay/Entertainment,English,twitch.tv/user63,@insta48400,@tw96398,contact+63@example.com,86.94,0.12,Top Moments 63,108513,27-06-2025,6119
YT100064,EmmaPlays,OliviaTVOfficial,France,Minecraft,,10938,19419677,343,56617,11,1,16,2402,1044,6.09,FALSE,Complexity,Let's Play,Hindi,twitch.tv/user64,@insta76674,@tw69195,contact+64@example.com,1109.31,1.57,Top Moments 64,172674,05-08-2025,31373
YT100065,LiamGaming,TaylorGamingLive,Turkey,Call of Duty,TFT,26107,21513307,320,67229,9,10,15,3732,415,6.17,FALSE,G2 Esports,Speedrun,Korean,twitch.tv/user65,@insta26203,@tw79167,contact+65@example.com,18863.52,3.84,Top Moments 65,1999664,02-08-2025,96346
YT100066,NoahGaming,RileyGamingTV,Canada,TFT,TFT,2656,1688778,306,5518,3,7,14,649,146,14.41,FALSE,BK,Match Highlights,English,twitch.tv/user66,@insta93349,@tw69697,contact+66@example.com,205.11,1.18,Top Moments 66,126402,02-07-2025,7871
YT100067,TaylorTV,NoahTVTV,Turkey,Valorant,Rocket League,14848,7723636,338,22850,3,2,3,968,211,5.16,FALSE,FaZe Clan,Interviews,Portuguese,twitch.tv/user67,@insta10116,@tw45280,contact+67@example.com,962.06,3.5,Top Moments 67,756316,12-04-2025,14622
YT100068,OliviaGaming,TaylorTVTV,Vietnam,Battlefield,Overwatch,5316,10419246,299,34846,7,1,13,2653,487,9.01,FALSE,Team Liquid,Vlogs,English,twitch.tv/user68,@insta7006,@tw57841,contact+68@example.com,188.44,2.3,Top Moments 68,1688682,25-07-2025,34781
YT100069,ChrisGaming,RileyPlaysNetwork,Russia,Sim Racing,TFT,1061,3644095,297,12269,7,1,13,736,83,6.68,FALSE,FaZe Clan,News/Analysis,English,twitch.tv/user69,@insta87673,@tw91017,contact+69@example.com,343.08,0.23,Top Moments 69,58271,04-02-2025,8647
YT100070,RileyTV,RileyPlaysOfficial,Brazil,Rocket League,,5314,3377698,315,10722,6,5,9,1038,90,10.52,FALSE,100 Thieves,Vlogs,Japanese,twitch.tv/user70,@insta30871,@tw18536,contact+70@example.com,1579.12,0.4,Top Moments 70,68525,06-07-2025,12264
YT100071,SamGaming,NoahGamingNetwork,Vietnam,Grand Theft Auto V,,34921,22809735,274,83247,3,1,10,8885,1801,12.84,FALSE,OpTic,Match Highlights,Filipino,twitch.tv/user71,@insta38930,@tw45922,contact+71@example.com,3029.54,3.86,Top Moments 71,2420633,10-08-2025,102472
YT100072,NoahPlays,OliviaGamingPlays,France,Grand Theft Auto V,,2814,9246108,321,28804,7,3,2,1557,642,7.63,FALSE,Fnatic,Live Stream Clips,Spanish,twitch.tv/user72,@insta11458,@tw65248,contact+72@example.com,3282.78,0.2,Top Moments 72,1437287,07-07-2025,12000
YT100073,AlexTV,TaylorGamingNetwork,India,Sim Racing,Valorant,36440,81004820,306,264721,5,3,5,22776,5803,10.8,FALSE,Sentinels,Cosplay/Entertainment,Japanese,twitch.tv/user73,@insta31512,@tw48087,contact+73@example.com,25722.96,6.39,Top Moments 73,4188887,22-07-2025,232080
YT100074,RileyGaming,NoahTVHighlights,China,Grand Theft Auto V,,500,795976,303,2626,7,1,18,196,49,9.33,FALSE,FaZe Clan,Vlogs,Korean,twitch.tv/user74,@insta14238,@tw99319,contact+74@example.com,59.38,0.14,Top Moments 74,72870,03-05-2025,1706
YT100075,JordanTV,OliviaTVNetwork,Malaysia,Valorant,Roblox,11103,8094730,273,29651,2,4,22,1418,854,7.66,FALSE,FaZe Clan,Cosplay/Entertainment,Russian,twitch.tv/user75,@insta50823,@tw25697,contact+75@example.com,1377.36,1.65,Top Moments 75,349235,26-06-2025,41595
YT100076,SamGaming,NoahPlaysPlays,Malaysia,Rainbow Six Siege,PUBG Mobile,3426,1840494,335,5494,6,4,6,259,97,6.48,FALSE,T1,Tutorials,English,twitch.tv/user76,@insta37434,@tw22611,contact+76@example.com,632.01,1.06,Top Moments 76,150685,06-06-2025,2504
YT100077,EmmaTV,NoahPlaysOfficial,Russia,Grand Theft Auto V,PUBG Mobile,1847,5476627,292,18755,8,2,13,1385,304,9.01,FALSE,Envy,Vlogs,German,twitch.tv/user77,@insta60429,@tw53873,contact+77@example.com,1469.96,0.34,Top Moments 77,202586,17-07-2025,26827
YT100078,EmmaPlays,TaylorPlaysGaming,Philippines,Battlefield,,3452,1683837,321,5245,1,2,19,185,58,4.63,FALSE,Complexity,Cosplay/Entertainment,Indonesian,twitch.tv/user78,@insta84320,@tw3506,contact+78@example.com,370.04,0.93,Top Moments 78,55081,01-08-2025,3907
YT100079,TaylorGaming,ChrisPlaysClips,Malaysia,PUBG Mobile,,500,583739,327,1785,4,5,9,180,13,10.81,FALSE,Dynamo,Cosplay/Entertainment,Filipino,twitch.tv/user79,@insta48819,@tw30939,contact+79@example.com,225.21,0.1,Top Moments 79,32588,28-05-2025,2384
YT100080,NoahPlays,RileyGamingTV,Thailand,Sim Racing,,2097,6327753,322,19651,11,3,16,528,367,4.55,FALSE,Fnatic,Vlogs,Filipino,twitch.tv/user80,@insta22319,@tw30402,contact+80@example.com,2177.24,0.67,Top Moments 80,925595,05-06-2025,15791
YT100081,LiamGaming,RileyPlaysGaming,Canada,PUBG Mobile,Apex Legends,5278,708800,321,2208,1,3,12,65,28,4.21,FALSE,Cloud9,Esports Team Channel,German,twitch.tv/user81,@insta49520,@tw96311,contact+81@example.com,115.22,1.77,Top Moments 81,74306,02-08-2025,2203
YT100082,SamPlays,EmmaTVChannel,UK,Hearthstone,,31717,10631687,329,32315,1,2,19,1752,584,7.23,FALSE,Complexity,Cosplay/Entertainment,Korean,twitch.tv/user82,@insta47566,@tw18197,contact+82@example.com,1592.16,13.85,Top Moments 82,641139,10-07-2025,47972
YT100083,TaylorPlays,AlexTVOfficial,Thailand,Roblox,,1300,4104058,289,14200,10,1,4,451,144,4.19,FALSE,100 Thieves,Interviews,Indonesian,twitch.tv/user83,@insta28460,@tw28681,contact+83@example.com,309.95,0.55,Top Moments 83,463719,05-06-2025,16346
YT100084,EmmaGaming,RileyTVPlays,Malaysia,Fortnite,Call of Duty,817,3366398,339,9930,12,10,5,670,257,9.34,FALSE,TSM,News/Analysis,Indonesian,twitch.tv/user84,@insta88841,@tw97216,contact+84@example.com,2245.35,0.24,Top Moments 84,114948,13-06-2025,4500
YT100085,TaylorTV,TaylorTVPlays,Spain,Fortnite,Counter-Strike 2,1335,906614,330,2747,11,3,14,164,82,8.96,FALSE,BK,Tutorials,English,twitch.tv/user85,@insta35993,@tw3872,contact+85@example.com,322.02,0.31,Top Moments 85,89547,30-07-2025,1489
YT100086,AlexTV,ChrisGamingHighlights,Turkey,Roblox,,12895,30630841,291,105260,8,2,13,9702,1374,10.52,FALSE,100 Thieves,Tutorials,German,twitch.tv/user86,@insta92988,@tw78292,contact+86@example.com,2665.4,1.87,Top Moments 86,4860066,19-04-2025,84420
YT100087,ChrisPlays,SamGamingGaming,Vietnam,Counter-Strike 2,,5044,11218081,301,37269,7,4,12,4297,971,14.14,FALSE,100 Thieves,Esports Team Channel,Indonesian,twitch.tv/user87,@insta90593,@tw67143,contact+87@example.com,831.68,1.65,Top Moments 87,1750644,28-07-2025,35846
YT100088,EmmaPlays,OliviaPlaysGaming,UK,Fighting Games,,1277,2197286,283,7764,12,3,15,740,208,12.21,FALSE,Team Liquid,Esports Team Channel,German,twitch.tv/user88,@insta85939,@tw23149,contact+88@example.com,99.93,0.38,Top Moments 88,234092,25-06-2025,2169
YT100089,EmmaGaming,RileyGamingLive,Thailand,Sim Racing,Hearthstone,6776,9740485,308,31624,10,1,6,1199,945,6.78,FALSE,Independent Creator,Esports Team Channel,English,twitch.tv/user89,@insta10358,@tw17143,contact+89@example.com,361.64,0.45,Top Moments 89,1398435,01-08-2025,8114
YT100090,NoahPlays,OliviaGamingPlays,Japan,Overwatch,Mobile Legends,3481,606731,287,2114,1,7,4,240,28,12.68,FALSE,Dynamo,Montages,German,twitch.tv/user90,@insta80840,@tw49049,contact+90@example.com,361.5,0.23,Top Moments 90,43529,24-06-2025,1679
